--- Overall Relaxation Summary (All Iterations) ---
Analysis Date: 2025-06-28 15:35:47

Num Atoms    Int. Symbol     Crystal System     Energy per Atom (eV/atom) GA Params                                         
------------ --------------- ------------------ ------------------------- --------------------------------------------------
40           P-3             trigonal           -2.577578                 D1:20.934, R21:0.587, Cell:(-0.02636361884556715, 0.19853664204917648, 0.07440775034859465, -1.9612811301822362, -26.862455760585863, 6.257762143823825)
40           P-1             triclinic          -2.577063                 D1:100.000, R21:0.000, Cell:(-0.05, -0.05, -0.05, 0.0, 0.0, 0.0)
40           P2_1            monoclinic         -2.576404                 D1:17.783, R21:0.000, Cell:(-0.05, -0.05, -0.05, 0.0, 0.0, 0.0)
20           P1              triclinic          -2.575925                 D1:79.437, R21:0.429, Cell:(0.132054707883479, -0.15058788166196627, -0.18378362185692476, 9.430140806088666, -21.863158806492294, 15.581848498181081)
20           C2/m            monoclinic         -2.572007                 D1:97.093, R21:0.375, Cell:(-0.18680422927820903, 0.023622832807934258, -0.08018491808824457, 12.480315571319096, -19.9454684578402, -11.426416473061504)
10           C2/m            monoclinic         -2.572007                 D1:23.575, R21:0.375, Cell:(-0.06955663494250683, -0.053389964417691255, -0.19087372515622758, -22.319372804017103, 0.0, 0.0)
80           C2/m            monoclinic         -2.572007                 D1:21.844, R21:0.092, Cell:(0.12305692647869204, -0.18836179639854, 0.03133821170517073, -18.013269525666274, -25.52474005810776, 0.0)
20           P-1             triclinic          -2.566550                 D1:100.000, R21:0.000, Cell:(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
40           P-1             triclinic          -2.564895                 D1:10.000, R21:0.000, Cell:(-0.1, -0.1, -0.1, 0.0, 0.0, 0.0)
20           P-1             triclinic          -2.564895                 D1:100.000, R21:0.000, Cell:(0.1, 0.1, 0.1, 0.0, 0.0, 0.0)
20           P-1             triclinic          -2.564895                 D1:8.358, R21:0.790, Cell:(-0.0721015513309598, 0.07116918543768758, 0.10202500037068579, -7.7680735520210575, 6.756517753328261, -16.2446857142791)
80           P-1             triclinic          -2.564895                 D1:17.783, R21:0.000, Cell:(0.05, 0.05, 0.05, 0.0, 0.0, 0.0)
40           P-1             triclinic          -2.564895                 D1:17.783, R21:0.000, Cell:(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)
40           P-1             triclinic          -2.564895                 D1:31.623, R21:0.000, Cell:(-0.1, -0.1, -0.1, 0.0, 0.0, 0.0)
80           P-1             triclinic          -2.564895                 D1:17.783, R21:0.000, Cell:(-0.1, -0.1, -0.1, 0.0, 0.0, 0.0)
80           P-1             triclinic          -2.564895                 D1:93.921, R21:0.662, Cell:(-0.09794155787890309, 0.07387285101294899, -0.07564969782898562, 12.304346312494445, 18.022506642991303, 4.1996880591967525)
40           P-1             triclinic          -2.564895                 D1:22.532, R21:0.475, Cell:(-0.14168837884786523, 0.05279908070463868, -0.007023259955076577, 25.482979982651194, -10.529977590868775, 15.749839817087576)
80           P-1             triclinic          -2.564895                 D1:31.623, R21:0.000, Cell:(-0.05, -0.05, -0.05, 0.0, 0.0, 0.0)
